                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.45742,                0.32341,                0.97403,                0.97703,                0.97716,                0.99095,                0.84616,                0.62261,                0.28428,                 1.0974,              0.0012146,              0.0012146,              0.0012146
                    121,                0.44001,                0.32696,                0.96398,                0.97617,                0.97716,                0.99173,                  0.849,                0.62226,                0.28263,                 1.0943,               0.001208,               0.001208,               0.001208
                    122,                0.43848,                0.32606,                0.96092,                0.97958,                0.97388,                0.98858,                0.83515,                0.65605,                0.30222,                 1.1486,              0.0012014,              0.0012014,              0.0012014
                    123,                0.43483,                0.32177,                0.96224,                0.98135,                0.96954,                0.99085,                0.83235,                0.64613,                0.31019,                 1.1185,              0.0011948,              0.0011948,              0.0011948
                    124,                0.44445,                0.33628,                0.97229,                0.97222,                0.97703,                0.98337,                0.82734,                0.64926,                0.30791,                 1.1284,              0.0011882,              0.0011882,              0.0011882
                    125,                  0.438,                 0.3253,                0.96012,                0.98464,                0.97625,                0.99192,                 0.8413,                0.65993,                0.29843,                 1.1494,              0.0011816,              0.0011816,              0.0011816
                    126,                0.43896,                0.31898,                0.95629,                  0.985,                0.96954,                0.99095,                0.83681,                0.64762,                0.29708,                 1.1172,               0.001175,               0.001175,               0.001175
                    127,                0.42481,                0.31461,                0.95662,                0.97927,                0.96954,                0.99093,                0.84243,                0.64334,                0.29437,                 1.1196,              0.0011684,              0.0011684,              0.0011684
                    128,                0.42393,                0.30971,                0.95368,                0.97962,                 0.9762,                0.99225,                0.84161,                0.66743,                0.29678,                 1.1212,              0.0011618,              0.0011618,              0.0011618
                    129,                0.42986,                0.31511,                0.95259,                0.98041,                0.96701,                0.99001,                 0.8412,                0.64651,                0.29617,                  1.091,              0.0011552,              0.0011552,              0.0011552
                    130,                0.42586,                0.30428,                0.95417,                0.96964,                0.97289,                 0.9884,                0.84401,                0.60585,                0.28089,                 1.0682,              0.0011486,              0.0011486,              0.0011486
                    131,                0.43093,                0.31138,                0.95952,                 0.9782,                0.97208,                0.99039,                0.83078,                0.64725,                0.28475,                 1.1196,               0.001142,               0.001142,               0.001142
                    132,                0.42959,                0.31582,                 0.9548,                0.97445,                0.97462,                0.99161,                 0.8396,                0.65422,                0.28859,                 1.1112,              0.0011354,              0.0011354,              0.0011354
                    133,                0.43106,                0.31569,                 0.9551,                 0.9848,                0.96954,                0.99156,                0.83499,                0.66095,                0.30537,                 1.1281,              0.0011288,              0.0011288,              0.0011288
                    134,                0.41995,                0.30721,                0.95154,                 0.9732,                0.97208,                 0.9917,                0.83622,                0.63834,                0.30139,                 1.1167,              0.0011222,              0.0011222,              0.0011222
                    135,                0.41634,                0.30793,                 0.9568,                0.97584,                0.97462,                0.99111,                0.84774,                0.63268,                0.28809,                  1.118,              0.0011156,              0.0011156,              0.0011156
                    136,                 0.4145,                0.30167,                0.94741,                0.97838,                0.97462,                0.98619,                0.82776,                0.66386,                0.30038,                 1.1309,               0.001109,               0.001109,               0.001109
                    137,                0.40646,                0.29731,                 0.9467,                0.97709,                0.97716,                0.99066,                0.84019,                0.63333,                 0.2919,                 1.0903,              0.0011024,              0.0011024,              0.0011024
                    138,                0.40907,                0.29949,                0.94385,                0.97974,                0.98201,                0.99166,                0.83652,                0.65768,                 0.2939,                 1.1346,              0.0010958,              0.0010958,              0.0010958
                    139,                0.42125,                0.30767,                0.95787,                0.98623,                0.97462,                0.98887,                0.83743,                0.65063,                0.30324,                 1.1176,              0.0010892,              0.0010892,              0.0010892
                    140,                 0.4191,                0.30372,                 0.9473,                 0.9794,                0.96539,                0.98967,                0.83634,                0.64402,                0.29139,                 1.1184,              0.0010826,              0.0010826,              0.0010826
                    141,                0.40816,                0.30037,                0.95027,                0.98091,                0.96954,                0.99168,                0.83851,                0.65444,                0.28912,                 1.1223,               0.001076,               0.001076,               0.001076
